AMOSTRA,FxF,VxV,COMPACTAÇÃO,PASSO (METRO)
30427221,0.27,0.24,44.5,880.5
30427221,0.26,0.27,26.5,880.7
31310463,0.32,0.35,31,880.0
31310463,0.31,0.33,25,880.0
31310463,0.34,0.38,27,880.2
31310463,0.31,0.27,29,880.3
31310463,0.31,0.25,27,880.0
31310463,0.28,0.27,30,880.3
31310660,0.34,0.27,32,880.3
31310660,0.32,0.25,25,880.3
31310660,0.28,0.29,33,880.3
31304154,0.34,0.23,30,880.7
31304154,0.32,0.21,25,880.9
31304154,0.32,0.23,27,880.4
31303964,0.34,0.26,29,880.9
31303964,0.34,0.27,26,880.4
31303964,0.33,0.25,30,880.5
31310358,0.33,0.31,28,880.4
31310358,0.34,0.24,25,880.7
31310358,0.35,0.25,33,880.5
31310168,0.34,0.37,25,880.9
31310168,0.33,0.30,26,880.7
31310168,0.35,0.32,25,880.5
31310042,0.30,0.30,27,880.4
31310042,0.28,0.33,27,880.5
31310042,0.29,0.31,28,880.3
31310096,0.34,0.33,25,880.6
31310096,0.31,0.35,25,881.0
31310096,0.30,0.29,27,881.0
31311357,0.31,0.34,24,880.0
31311357,0.30,0.36,17,880.0
31311357,0.31,0.35,16,880.0
31311357,0.34,0.39,25,880.0
31311304,0.33,0.39,26,880.0
31311304,0.34,0.38,25,880.0
31309867,0.35,0.30,25,880.5
31309867,0.37,0.30,30,881.0
31309867,0.38,0.28,30,880.5
31309868,0.26,0.32,47,880.5
31309868,0.36,0.36,52,881.0
31309868,0.34,0.32,43,881.0
31309672,0.32,0.17,29,881.0
31309672,0.35,0.18,16,881.0
31309672,0.32,0.17,21,881.0
31309672,0.23,0.15,24,881.0
31309672,0.17,0.22,57,881.0
31309672,0.32,0.30,50,881.0
31313114,0.31,0.36,25,880.0
31313114,0.30,0.34,29,880.0
31313114,0.31,0.36,26,880.0
31313030,0.30,0.36,34,881.0
31313030,0.35,0.36,27,881.0
31313030,0.35,0.35,35,882.0
31313412,0.35,0.37,26,880.5
31313412,0.40,0.40,25,880.4
31313412,0.34,0.34,27,881.0
31312825,0.39,0.31,25,880.5
31312825,0.33,0.32,25,881.0
31312825,0.35,0.32,25,881.0
31313295,0.36,0.40,15,881.0
31313295,0.3,0.37,26,881.0
31313295,0.35,0.4,25,881.0
31313440,0.32,0.47,17,880.5
31313440,0.37,0.45,25,880.5
31313440,0.32,0.45,26,880.6
31312300,0.37,0.32,21,880.5
31312300,0.35,0.28,25,880.7
31312300,0.32,0.32,18,880.6
31309569,0.33,0.18,24,880.2
31309569,0.34,0.17,23,880.0
31309569,0.36,0.18,25,880.0
